tract_a	tract_b	adjacency
53071920702	53071920802	1
53071920100	53071920100	1
53013960200	53071920100	1
53071920400	53071920400	1
53053072907	53053072907	1
53053072906	53053072907	1
53053072905	53053072907	1
53053072000	53053072907	1
53053072901	53053072907	1
53053072903	53053072907	1
53061051702	53061051702	1
53061051702	53061051802	1
53061051400	53061051702	1
53011041110	53011041110	1
53011041110	53011041600	1
53011041105	53011041110	1
53011041110	53011041700	1
53011041110	53011041800	1
53011041011	53011041110	1
53011041110	53011041112	1
53011041110	53011041111	1
53063011500	53063011500	1
53063011500	53063011701	1
53061052709	53061052709	1
53061052705	53061052709	1
53061052709	53061052806	1
53061052709	53061053604	1
53061052709	53061052906	1
53061052708	53061052709	1
53061052709	53061053505	1
53061052709	53061052804	1
53061052709	53061053603	1
53061053508	53061053508	1
53061053400	53061053508	1
53061053507	53061053508	1
53061053504	53061053508	1
53061053302	53061053508	1
53061053101	53061053508	1
53061053508	53061053509	1
53061051928	53061051928	1
53061051802	53061051928	1
53061041703	53061051928	1
53061051927	53061051928	1
53061052208	53061052208	1
53061052204	53061052208	1
53061052207	53061052208	1
53061052208	53061052209	1
53027990000	53027990000	1
53027990000	53031990000	1
53027940000	53027990000	1
53027990000	53049950300	1
53027990000	53049990100	1
53027990000	53031950702	1
53011040408	53011040408	1
